Filename,Asset Version,Asset Generator,Number of Scenes,Number of Nodes,Number of Meshes,Number of Materials,Number of Animations,Number of Textures,Number of Images,Number of Buffers,Extensions Used,Extensions Required,Count_Extensions_Used,Cluster,PCA1,PCA2
lascaux.glb,2.0,Sketchfab-15.12.0,1,3,1,1,0,2,2,1,['KHR_materials_pbrSpecularGlossiness'],['KHR_materials_pbrSpecularGlossiness'],1,2,-0.7102415136441673,-0.2545660120462947
templo_epiatorio_da_sagrada_familia.glb,2.0,Sketchfab-16.12.0,1,17,15,1,0,0,0,1,[],[],0,0,-0.6178029130614152,0.1330463522451971
The_Three_Graces.glb,2.0,pygltflib@v1.16.3,1,12,4,1,0,4,4,1,[],[],0,0,-0.35131591300851966,-0.2045915373200892
Mont-Saint-Michel_France.glb,2.0,pygltflib@v1.16.3,1,28,12,3,0,3,3,1,[],[],0,0,-0.2628279057887594,-0.056558250145080785
The_Upper_Vestibule.glb,2.0,pygltflib@v1.16.3,1,32,14,1,0,1,1,1,[],[],0,0,-0.4995321354389122,0.1305821820249661
Jvari_Monastery_Georgia_UNESCO_world_heritage.glb,2.0,pygltflib@v1.16.3,1,54,24,11,0,11,11,1,[],[],0,0,0.8981427648569781,-0.4409751896676165
Ellora_Caves__India.glb,2.0,pygltflib@v1.16.3,1,16,5,1,0,1,1,1,[],[],0,0,-0.5883116089100775,-0.021733101442107734
Visnu_Adho_Ksaja.glb,2.0,pygltflib@v1.16.3,1,14,5,1,0,1,1,1,[],[],0,0,-0.5935458950818994,-0.02969853016891429
cliff_palace_mesa_verde_colorado.glb,2.0,Sketchfab-15.33.0,1,3,1,1,0,1,1,1,['KHR_materials_unlit'],[],1,2,-0.794466832099849,-0.20220466566975057
cn_tower_scan_-_toronto.glb,2.0,Sketchfab-12.66.0,1,123,60,60,0,60,60,1,[],[],0,1,7.577452691989533,-3.5241016390928825
parthenon_-_acropolis_athens_greece (1).glb,2.0,Sketchfab-12.68.0,1,13,8,2,0,2,2,1,[],[],0,0,-0.4517298886835388,-0.07991187471159147
Priest_Karol_Wojtyłas_sports_shoes.glb,2.0,pygltflib@v1.16.3,1,8,1,1,0,3,3,1,[],[],0,0,-0.4616448651733751,-0.19769166628136525
Glastonbury_Tor.glb,2.0,pygltflib@v1.16.3,1,12,2,1,1,1,1,1,[],[],0,0,-0.7095166796310141,-0.29842750295273757
martinskapelle.glb,2.0,Sketchfab-16.59.0,1,21,19,2,0,1,1,1,['KHR_materials_specular'],[],1,2,-0.6089751186972122,0.023267998489814607
alcatraz.glb,2.0,Sketchfab-15.87.0,1,16,12,1,0,1,1,1,[],[],0,0,-0.5518297990571744,0.04717167362104245
Jaaninoja_Bridge_in_Turku_Kurala_Finland.glb,2.0,pygltflib@v1.16.3,1,24,10,1,0,5,5,1,[],[],0,0,-0.20441475479084661,-0.1500990755673797
Medieval_Ringed_Cross-Slab_TN009-003003-.glb,2.0,pygltflib@v1.16.3,1,22,9,1,0,0,0,1,[],[],0,0,-0.63598732036292,0.093898688293799
Hintze_Hall_NHM_London_surface_model.glb,2.0,pygltflib@v1.16.3,1,36,16,1,0,1,1,1,[],[],0,0,-0.4786401888515816,0.16620011806805066
Painted_house_-_Zalipie_in_southern_Poland.glb,2.0,pygltflib@v1.16.3,1,52,24,1,0,1,1,1,[],[],0,0,-0.39507240250225967,0.3086718622403888
shah_alam_blue_mosque.glb,2.0,Sketchfab-12.66.0,1,76,48,14,0,7,7,1,[],[],0,0,0.8776174388377119,0.02213514984627888
Chinese_Archway_01.glb,2.0,pygltflib@v1.16.3,1,41,17,1,0,0,0,1,[],[],0,0,-0.5445681047558651,0.2483185755563469
